transaction_id,user_id,amount,category,timestamp,ip_address
1001,4012,120.50,shopping,2026-04-01 08:15:22,192.168.1.50
1002,1120,3500.00,transfer,2026-04-01 09:30:00,10.0.0.15
1003,2281,45.00,ATM,2026-04-01 10:12:04,192.168.1.72
1004,3094,18500.00,loan,2026-04-01 11:45:30,185.23.44.11
1005,1120,,transfer,2026-04-01 12:00:15,10.0.0.15
1006,5501,250.00,shopping,2026-04-02 14:22:11,192.168.1.88
1007,4012,15.70,shopping,2026-04-02 15:34:55,192.168.1.50
1008,,600.00,salary,2026-04-03 06:00:00,10.0.0.1
1009,8812,22000.00,transfer,2026-04-03 09:15:00,185.23.44.11
1010,3340,110.00,ATM,2026-04-03 10:45:22,192.168.2.11
1011,4012,89.90,shopping,2026-04-04 18:20:01,192.168.1.50
1012,5501,1300.00,transfer,2026-04-04 19:11:15,192.168.1.88
1013,1120,450.00,shopping,2026-04-05 11:00:00,10.0.0.15
1014,2281,200.00,ATM,2026-04-05 13:12:44,192.168.1.72
1015,7731,31000.00,loan,2026-04-05 16:40:12,93.45.112.3
1016,3094,150.00,shopping,2026-04-06 08:30:19,185.23.44.11
1017,4012,25.00,shopping,2026-04-06 09:45:00,192.168.1.50
1018,9902,5000.00,salary,2026-04-10 07:00:00,10.0.0.2
1019,1120,,ATM,2026-04-10 10:30:15,10.0.0.15
1020,5501,45.50,shopping,2026-04-11 14:15:22,192.168.1.88
1021,3340,300.00,transfer,2026-04-12 16:22:18,192.168.2.11
1022,2281,120.00,shopping,2026-04-12 17:45:02,192.168.1.72
1023,7731,500.00,shopping,2026-04-13 11:12:30,93.45.112.3
1024,4012,199.99,shopping,2026-04-15 19:30:00,192.168.1.50
1025,,1500.00,transfer,2026-04-15 21:15:45,192.168.3.1
1026,3094,60.00,ATM,2026-04-16 08:00:12,185.23.44.11
1027,8812,500.00,shopping,2026-04-18 12:45:33,185.23.44.11
1028,1120,16500.00,transfer,2026-04-20 14:20:00,185.23.44.11
1029,5501,35.00,shopping,2026-04-22 10:15:11,192.168.1.88
1030,2281,400.00,transfer,2026-04-25 15:30:22,192.168.1.72
1031,4012,55.00,shopping,2026-05-01 08:00:00,192.168.1.50
1032,1120,4200.00,transfer,2026-05-01 09:11:15,10.0.0.15
1033,2281,100.00,ATM,2026-05-02 10:30:44,192.168.1.72
1034,3094,25000.00,loan,2026-05-02 14:15:00,185.23.44.11
1035,5501,12.50,shopping,2026-05-03 11:22:33,192.168.1.88
1036,4012,450.00,shopping,2026-05-03 16:45:12,192.168.1.50
1037,3340,6000.00,salary,2026-05-10 07:00:00,10.0.0.3
1038,8812,,transfer,2026-05-10 09:30:00,185.23.44.11
1039,7731,150.00,shopping,2026-05-11 13:12:00,93.45.112.3
1040,1120,95.00,shopping,2026-05-12 18:20:15,10.0.0.15
1041,2281,50.00,ATM,2026-05-12 19:45:30,192.168.1.72
1042,5501,19500.00,transfer,2026-05-13 08:15:00,185.23.44.11
1043,4012,32.40,shopping,2026-05-13 10:11:22,192.168.1.50
1044,,850.00,shopping,2026-05-14 14:30:00,192.168.3.5
1045,3094,500.00,transfer,2026-05-14 16:55:10,185.23.44.11
1046,7731,1200.00,transfer,2026-05-15 11:00:45,93.45.112.3
1047,1120,220.00,shopping,2026-05-15 12:30:00,10.0.0.15
1048,5501,75.00,shopping,2026-05-16 15:18:22,192.168.1.88
1049,2281,300.00,ATM,2026-05-16 17:40:11,192.168.1.72
1050,4012,11.99,shopping,2026-05-17 09:05:30,192.168.1.50
